['Date:20140103', 'Maturity:201401W2', 'Strike_price:8650', 'CallPut:call', 'close:3.3']
['Date:20140103', 'Maturity:201401W2', 'Strike_price:8700', 'CallPut:call', 'close:1.5']
['Date:20140103', 'Maturity:201401', 'Strike_price:6800', 'CallPut:call', 'close:1740']
['Date:20140103', 'Maturity:201401', 'Strike_price:6900', 'CallPut:call', 'close:1640']
['Date:20140103', 'Maturity:201401', 'Strike_price:7000', 'CallPut:call', 'close:1540']
['Date:20140103', 'Maturity:201401', 'Strike_price:7100', 'CallPut:call', 'close:1440']
['Date:20140103', 'Maturity:201401', 'Strike_price:7200', 'CallPut:call', 'close:1340']
['Date:20140103', 'Maturity:201401', 'Strike_price:7300', 'CallPut:call', 'close:1240']
['Date:20140103', 'Maturity:201401', 'Strike_price:7400', 'CallPut:call', 'close:1140']
['Date:20140103', 'Maturity:201401', 'Strike_price:7500', 'CallPut:call', 'close:1040']
['Date:20140103', 'Maturity:201401', 'Strike_price:7600', 'CallPut:call', 'close:940']
['Date:20140103', 'Maturity:201401', 'Strike_price:7700', 'CallPut:call', 'close:840']
['Date:20140103', 'Maturity:201401', 'Strike_price:7800', 'CallPut:call', 'close:745']
['Date:20140103', 'Maturity:201401', 'Strike_price:7900', 'CallPut:call', 'close:645']
['Date:20140103', 'Maturity:201401', 'Strike_price:8000', 'CallPut:call', 'close:540']
['Date:20140103', 'Maturity:201401', 'Strike_price:8100', 'CallPut:call', 'close:444']
['Date:20140103', 'Maturity:201401', 'Strike_price:8200', 'CallPut:call', 'close:345']
['Date:20140103', 'Maturity:201401', 'Strike_price:8300', 'CallPut:call', 'close:248']
['Date:20140103', 'Maturity:201401', 'Strike_price:8400', 'CallPut:call', 'close:160']
['Date:20140103', 'Maturity:201401', 'Strike_price:8500', 'CallPut:call', 'close:85']
['Date:20140103', 'Maturity:201401', 'Strike_price:8600', 'CallPut:call', 'close:35']
['Date:20140103', 'Maturity:201401', 'Strike_price:8700', 'CallPut:call', 'close:11.5']
['Date:20140103', 'Maturity:201401', 'Strike_price:8800', 'CallPut:call', 'close:3.1']
['Date:20140103', 'Maturity:201402', 'Strike_price:6800', 'CallPut:call', 'close:1730']
['Date:20140103', 'Maturity:201402', 'Strike_price:6900', 'CallPut:call', 'close:1630']
['Date:20140103', 'Maturity:201402', 'Strike_price:7000', 'CallPut:call', 'close:1530']
['Date:20140103', 'Maturity:201402', 'Strike_price:7100', 'CallPut:call', 'close:1430']
['Date:20140103', 'Maturity:201402', 'Strike_price:7200', 'CallPut:call', 'close:1330']
['Date:20140103', 'Maturity:201402', 'Strike_price:7300', 'CallPut:call', 'close:1230']
['Date:20140103', 'Maturity:201402', 'Strike_price:7400', 'CallPut:call', 'close:1130']
['Date:20140103', 'Maturity:201402', 'Strike_price:7500', 'CallPut:call', 'close:1030']
['Date:20140103', 'Maturity:201402', 'Strike_price:7600', 'CallPut:call', 'close:930']
['Date:20140103', 'Maturity:201402', 'Strike_price:7700', 'CallPut:call', 'close:830']
['Date:20140103', 'Maturity:201402', 'Strike_price:7800', 'CallPut:call', 'close:730']
['Date:20140103', 'Maturity:201402', 'Strike_price:7900', 'CallPut:call', 'close:630']
['Date:20140103', 'Maturity:201402', 'Strike_price:8000', 'CallPut:call', 'close:535']
['Date:20140103', 'Maturity:201402', 'Strike_price:8100', 'CallPut:call', 'close:445']
['Date:20140103', 'Maturity:201402', 'Strike_price:8200', 'CallPut:call', 'close:360']
['Date:20140103', 'Maturity:201402', 'Strike_price:8300', 'CallPut:call', 'close:273']
['Date:20140103', 'Maturity:201402', 'Strike_price:8400', 'CallPut:call', 'close:203']
['Date:20140103', 'Maturity:201402', 'Strike_price:8500', 'CallPut:call', 'close:142']
['Date:20140103', 'Maturity:201402', 'Strike_price:8600', 'CallPut:call', 'close:92']
['Date:20140103', 'Maturity:201402', 'Strike_price:8700', 'CallPut:call', 'close:56']
['Date:20140103', 'Maturity:201402', 'Strike_price:8800', 'CallPut:call', 'close:30']
['Date:20140103', 'Maturity:201402', 'Strike_price:8900', 'CallPut:call', 'close:16']
['Date:20140103', 'Maturity:201402', 'Strike_price:9000', 'CallPut:call', 'close:7.5']
['Date:20140103', 'Maturity:201402', 'Strike_price:9100', 'CallPut:call', 'close:3.7']
['Date:20140103', 'Maturity:201402', 'Strike_price:9200', 'CallPut:call', 'close:1.6']
['Date:20140106', 'Maturity:201401W2', 'Strike_price:7900', 'CallPut:call', 'close:610']
['Date:20140106', 'Maturity:201401W2', 'Strike_price:8000', 'CallPut:call', 'close:510']
['Date:20140106', 'Maturity:201401W2', 'Strike_price:8100', 'CallPut:call', 'close:412']
['Date:20140106', 'Maturity:201401W2', 'Strike_price:8200', 'CallPut:call', 'close:312']
['Date:20140106', 'Maturity:201401W2', 'Strike_price:8300', 'CallPut:call', 'close:212']
['Date:20140106', 'Maturity:201401W2', 'Strike_price:8350', 'CallPut:call', 'close:164']
['Date:20140106', 'Maturity:201401W2', 'Strike_price:8400', 'CallPut:call', 'close:115']
['Date:20140106', 'Maturity:201401W2', 'Strike_price:8450', 'CallPut:call', 'close:71']
['Date:20140106', 'Maturity:201401W2', 'Strike_price:8500', 'CallPut:call', 'close:33']
['Date:20140106', 'Maturity:201401W2', 'Strike_price:8550', 'CallPut:call', 'close:12.5']
['Date:20140106', 'Maturity:201401W2', 'Strike_price:8600', 'CallPut:call', 'close:3.4']
['Date:20140106', 'Maturity:201401', 'Strike_price:6800', 'CallPut:call', 'close:1720']
['Date:20140106', 'Maturity:201401', 'Strike_price:6900', 'CallPut:call', 'close:1620']
['Date:20140106', 'Maturity:201401', 'Strike_price:7000', 'CallPut:call', 'close:1520']
['Date:20140106', 'Maturity:201401', 'Strike_price:7100', 'CallPut:call', 'close:1420']
['Date:20140106', 'Maturity:201401', 'Strike_price:7200', 'CallPut:call', 'close:1320']
['Date:20140106', 'Maturity:201401', 'Strike_price:7300', 'CallPut:call', 'close:1220']
['Date:20140106', 'Maturity:201401', 'Strike_price:7400', 'CallPut:call', 'close:1120']
['Date:20140106', 'Maturity:201401', 'Strike_price:7500', 'CallPut:call', 'close:1020']
['Date:20140106', 'Maturity:201401', 'Strike_price:7600', 'CallPut:call', 'close:925']
['Date:20140106', 'Maturity:201401', 'Strike_price:7700', 'CallPut:call', 'close:825']
['Date:20140106', 'Maturity:201401', 'Strike_price:7800', 'CallPut:call', 'close:735']
['Date:20140106', 'Maturity:201401', 'Strike_price:7900', 'CallPut:call', 'close:630']
['Date:20140106', 'Maturity:201401', 'Strike_price:8000', 'CallPut:call', 'close:525']
['Date:20140106', 'Maturity:201401', 'Strike_price:8100', 'CallPut:call', 'close:431']
['Date:20140106', 'Maturity:201401', 'Strike_price:8200', 'CallPut:call', 'close:327']
['Date:20140106', 'Maturity:201401', 'Strike_price:8300', 'CallPut:call', 'close:234']
['Date:20140106', 'Maturity:201401', 'Strike_price:8400', 'CallPut:call', 'close:144']
['Date:20140106', 'Maturity:201401', 'Strike_price:8500', 'CallPut:call', 'close:70']
['Date:20140106', 'Maturity:201401', 'Strike_price:8600', 'CallPut:call', 'close:25.5']
['Date:20140106', 'Maturity:201401', 'Strike_price:8700', 'CallPut:call', 'close:6.8']
['Date:20140106', 'Maturity:201401', 'Strike_price:8800', 'CallPut:call', 'close:1.7']
['Date:20140106', 'Maturity:201402', 'Strike_price:6800', 'CallPut:call', 'close:1710']
['Date:20140106', 'Maturity:201402', 'Strike_price:6900', 'CallPut:call', 'close:1610']
['Date:20140106', 'Maturity:201402', 'Strike_price:7000', 'CallPut:call', 'close:1510']
['Date:20140106', 'Maturity:201402', 'Strike_price:7100', 'CallPut:call', 'close:1410']
