['Date:20180103', 'Maturity:201801W2', 'Strike_price:9900', 'CallPut:call', 'close:895']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10000', 'CallPut:call', 'close:795']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10100', 'CallPut:call', 'close:695']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10200', 'CallPut:call', 'close:595']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10300', 'CallPut:call', 'close:497']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10400', 'CallPut:call', 'close:397']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10450', 'CallPut:call', 'close:347']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10500', 'CallPut:call', 'close:302']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10550', 'CallPut:call', 'close:255']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10600', 'CallPut:call', 'close:207']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10650', 'CallPut:call', 'close:162']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10700', 'CallPut:call', 'close:120']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10750', 'CallPut:call', 'close:82']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10800', 'CallPut:call', 'close:53']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10850', 'CallPut:call', 'close:30']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10900', 'CallPut:call', 'close:15.5']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:10950', 'CallPut:call', 'close:7.1']
['Date:20180103', 'Maturity:201801W2', 'Strike_price:11000', 'CallPut:call', 'close:2.8']
['Date:20180103', 'Maturity:201801', 'Strike_price:8800', 'CallPut:call', 'close:1990']
['Date:20180103', 'Maturity:201801', 'Strike_price:8900', 'CallPut:call', 'close:1890']
['Date:20180103', 'Maturity:201801', 'Strike_price:9000', 'CallPut:call', 'close:1790']
['Date:20180103', 'Maturity:201801', 'Strike_price:9100', 'CallPut:call', 'close:1690']
['Date:20180103', 'Maturity:201801', 'Strike_price:9200', 'CallPut:call', 'close:1590']
['Date:20180103', 'Maturity:201801', 'Strike_price:9300', 'CallPut:call', 'close:1490']
['Date:20180103', 'Maturity:201801', 'Strike_price:9400', 'CallPut:call', 'close:1390']
['Date:20180103', 'Maturity:201801', 'Strike_price:9500', 'CallPut:call', 'close:1290']
['Date:20180103', 'Maturity:201801', 'Strike_price:9600', 'CallPut:call', 'close:1190']
['Date:20180103', 'Maturity:201801', 'Strike_price:9700', 'CallPut:call', 'close:1090']
['Date:20180103', 'Maturity:201801', 'Strike_price:9800', 'CallPut:call', 'close:990']
['Date:20180103', 'Maturity:201801', 'Strike_price:9900', 'CallPut:call', 'close:890']
['Date:20180103', 'Maturity:201801', 'Strike_price:10000', 'CallPut:call', 'close:795']
['Date:20180103', 'Maturity:201801', 'Strike_price:10100', 'CallPut:call', 'close:695']
['Date:20180103', 'Maturity:201801', 'Strike_price:10200', 'CallPut:call', 'close:595']
['Date:20180103', 'Maturity:201801', 'Strike_price:10300', 'CallPut:call', 'close:495']
['Date:20180103', 'Maturity:201801', 'Strike_price:10400', 'CallPut:call', 'close:399']
['Date:20180103', 'Maturity:201801', 'Strike_price:10500', 'CallPut:call', 'close:301']
['Date:20180103', 'Maturity:201801', 'Strike_price:10600', 'CallPut:call', 'close:213']
['Date:20180103', 'Maturity:201801', 'Strike_price:10700', 'CallPut:call', 'close:132']
['Date:20180103', 'Maturity:201801', 'Strike_price:10800', 'CallPut:call', 'close:71']
['Date:20180103', 'Maturity:201801', 'Strike_price:10900', 'CallPut:call', 'close:30.5']
['Date:20180103', 'Maturity:201801', 'Strike_price:11000', 'CallPut:call', 'close:11']
['Date:20180103', 'Maturity:201801', 'Strike_price:11100', 'CallPut:call', 'close:3.7']
['Date:20180103', 'Maturity:201801', 'Strike_price:11200', 'CallPut:call', 'close:1.6']
['Date:20180103', 'Maturity:201802', 'Strike_price:8800', 'CallPut:call', 'close:1970']
['Date:20180103', 'Maturity:201802', 'Strike_price:8900', 'CallPut:call', 'close:1870']
['Date:20180103', 'Maturity:201802', 'Strike_price:9000', 'CallPut:call', 'close:1770']
['Date:20180103', 'Maturity:201802', 'Strike_price:9100', 'CallPut:call', 'close:1670']
['Date:20180103', 'Maturity:201802', 'Strike_price:9200', 'CallPut:call', 'close:1570']
['Date:20180103', 'Maturity:201802', 'Strike_price:9300', 'CallPut:call', 'close:1470']
['Date:20180103', 'Maturity:201802', 'Strike_price:9400', 'CallPut:call', 'close:1370']
['Date:20180103', 'Maturity:201802', 'Strike_price:9500', 'CallPut:call', 'close:1280']
['Date:20180103', 'Maturity:201802', 'Strike_price:9600', 'CallPut:call', 'close:1180']
['Date:20180103', 'Maturity:201802', 'Strike_price:9700', 'CallPut:call', 'close:1080']
['Date:20180103', 'Maturity:201802', 'Strike_price:9800', 'CallPut:call', 'close:980']
['Date:20180103', 'Maturity:201802', 'Strike_price:9900', 'CallPut:call', 'close:885']
['Date:20180103', 'Maturity:201802', 'Strike_price:10000', 'CallPut:call', 'close:785']
['Date:20180103', 'Maturity:201802', 'Strike_price:10100', 'CallPut:call', 'close:690']
['Date:20180103', 'Maturity:201802', 'Strike_price:10200', 'CallPut:call', 'close:595']
['Date:20180103', 'Maturity:201802', 'Strike_price:10300', 'CallPut:call', 'close:505']
['Date:20180103', 'Maturity:201802', 'Strike_price:10400', 'CallPut:call', 'close:413']
['Date:20180103', 'Maturity:201802', 'Strike_price:10500', 'CallPut:call', 'close:331']
['Date:20180103', 'Maturity:201802', 'Strike_price:10600', 'CallPut:call', 'close:254']
['Date:20180103', 'Maturity:201802', 'Strike_price:10700', 'CallPut:call', 'close:186']
['Date:20180103', 'Maturity:201802', 'Strike_price:10800', 'CallPut:call', 'close:131']
['Date:20180103', 'Maturity:201802', 'Strike_price:10900', 'CallPut:call', 'close:85']
['Date:20180103', 'Maturity:201802', 'Strike_price:11000', 'CallPut:call', 'close:51']
['Date:20180103', 'Maturity:201802', 'Strike_price:11100', 'CallPut:call', 'close:30']
['Date:20180103', 'Maturity:201802', 'Strike_price:11200', 'CallPut:call', 'close:16.5']
['Date:20180103', 'Maturity:201802', 'Strike_price:11300', 'CallPut:call', 'close:8.8']
['Date:20180103', 'Maturity:201802', 'Strike_price:11400', 'CallPut:call', 'close:4.7']
['Date:20180103', 'Maturity:201802', 'Strike_price:11500', 'CallPut:call', 'close:2.8']
['Date:20180103', 'Maturity:201802', 'Strike_price:11600', 'CallPut:call', 'close:1.9']
['Date:20180103', 'Maturity:201802', 'Strike_price:11700', 'CallPut:call', 'close:1.4']
['Date:20180103', 'Maturity:201802', 'Strike_price:11800', 'CallPut:call', 'close:1.1']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:9900', 'CallPut:call', 'close:950']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10000', 'CallPut:call', 'close:850']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10100', 'CallPut:call', 'close:750']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10200', 'CallPut:call', 'close:650']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10300', 'CallPut:call', 'close:550']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10400', 'CallPut:call', 'close:450']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10450', 'CallPut:call', 'close:402']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10500', 'CallPut:call', 'close:352']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10550', 'CallPut:call', 'close:302']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10600', 'CallPut:call', 'close:252']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10650', 'CallPut:call', 'close:207']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10700', 'CallPut:call', 'close:160']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10750', 'CallPut:call', 'close:118']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10800', 'CallPut:call', 'close:80']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10850', 'CallPut:call', 'close:48.5']
['Date:20180104', 'Maturity:201801W2', 'Strike_price:10900', 'CallPut:call', 'close:26.5']
