['Date:20150106', 'Maturity:201501W1', 'Strike_price:9100', 'CallPut:call', 'close:22']
['Date:20150106', 'Maturity:201501W1', 'Strike_price:9150', 'CallPut:call', 'close:8.2']
['Date:20150106', 'Maturity:201501W1', 'Strike_price:9200', 'CallPut:call', 'close:2.9']
['Date:20150106', 'Maturity:201501', 'Strike_price:7200', 'CallPut:call', 'close:1860']
['Date:20150106', 'Maturity:201501', 'Strike_price:7300', 'CallPut:call', 'close:1760']
['Date:20150106', 'Maturity:201501', 'Strike_price:7400', 'CallPut:call', 'close:1660']
['Date:20150106', 'Maturity:201501', 'Strike_price:7500', 'CallPut:call', 'close:1560']
['Date:20150106', 'Maturity:201501', 'Strike_price:7600', 'CallPut:call', 'close:1460']
['Date:20150106', 'Maturity:201501', 'Strike_price:7700', 'CallPut:call', 'close:1360']
['Date:20150106', 'Maturity:201501', 'Strike_price:7800', 'CallPut:call', 'close:1260']
['Date:20150106', 'Maturity:201501', 'Strike_price:7900', 'CallPut:call', 'close:1160']
['Date:20150106', 'Maturity:201501', 'Strike_price:8000', 'CallPut:call', 'close:1060']
['Date:20150106', 'Maturity:201501', 'Strike_price:8100', 'CallPut:call', 'close:960']
['Date:20150106', 'Maturity:201501', 'Strike_price:8200', 'CallPut:call', 'close:860']
['Date:20150106', 'Maturity:201501', 'Strike_price:8300', 'CallPut:call', 'close:760']
['Date:20150106', 'Maturity:201501', 'Strike_price:8400', 'CallPut:call', 'close:660']
['Date:20150106', 'Maturity:201501', 'Strike_price:8500', 'CallPut:call', 'close:560']
['Date:20150106', 'Maturity:201501', 'Strike_price:8600', 'CallPut:call', 'close:465']
['Date:20150106', 'Maturity:201501', 'Strike_price:8700', 'CallPut:call', 'close:370']
['Date:20150106', 'Maturity:201501', 'Strike_price:8800', 'CallPut:call', 'close:284']
['Date:20150106', 'Maturity:201501', 'Strike_price:8900', 'CallPut:call', 'close:204']
['Date:20150106', 'Maturity:201501', 'Strike_price:9000', 'CallPut:call', 'close:133']
['Date:20150106', 'Maturity:201501', 'Strike_price:9100', 'CallPut:call', 'close:79']
