ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基
1998/7/21,TX,199809,8131,8131,8036,8045,-,-,208,8045,137,-,-,8131,8036
1998/7/21,TX,199810,-,-,-,-,-,-,-,7768,0,-,-,-,-
1998/7/21,TX,199812,-,-,-,-,-,-,-,8166,0,-,-,-,-
1998/7/21,TX,199903,8242,8242,8242,8242,-,-,3,8242,3,-,-,8242,8242
1998/7/21,TX,199906,-,-,-,-,-,-,-,8414,0,-,-,-,-
1998/7/22,TX,199809,7950,7950,7820,7870,-175,-2.18%,360,7870,279,-,-,8131,7820
1998/7/22,TX,199810,-,-,-,-,-,-,-,8009,0,-,-,-,-
1998/7/22,TX,199812,7910,7910,7875,7875,-291,-3.56%,2,7991,2,-,-,7910,7875
1998/7/22,TX,199903,8174,8174,8000,8000,-242,-2.94%,5,8067,7,-,-,8242,8000
1998/7/22,TX,199906,-,-,-,-,-,-,-,8239,0,-,-,-,-
1998/7/23,TX,199809,7830,7859,7802,7825,-45,-0.57%,190,7825,357,-,-,8131,7802
1998/7/23,TX,199810,-,-,-,-,-,-,-,7964,0,-,-,-,-
1998/7/23,TX,199812,7920,7920,7920,7920,-71,-0.89%,1,7946,3,-,-,7920,7875
1998/7/23,TX,199903,8100,8100,8010,8010,-57,-0.71%,5,8010,11,-,-,8242,8000
1998/7/23,TX,199906,-,-,-,-,-,-,-,8194,0,-,-,-,-
1998/7/24,TX,199809,7750,7835,7740,7835,10,0.13%,340,7835,420,-,-,8131,7740
1998/7/24,TX,199810,7770,7770,7770,7770,-194,-2.44%,1,7974,1,-,-,7770,7770
1998/7/24,TX,199812,7940,7940,7940,7940,-6,-0.08%,1,7956,4,-,-,7940,7875
1998/7/24,TX,199903,8020,8045,8015,8045,35,0.44%,8,8020,18,-,-,8242,8000
1998/7/24,TX,199906,-,-,-,-,-,-,-,8204,0,-,-,-,-
1998/7/27,TX,199809,7830,7835,7780,7786,-49,-0.63%,150,7786,466,-,-,8131,7740
